year,farm_resource_region,crop,stat,estimate
2006,Fruitful Rim,Soybean,infi,NA
2006,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,68408
2006,Fruitful Rim,General Cash Grains,infi,82678
2006,Fruitful Rim,Other Field Crops,infi,17190
2006,Fruitful Rim,"Specialty Crops (F,V,N)",infi,131769
2007,Fruitful Rim,Corn,infi,80566
2007,Fruitful Rim,Soybean,infi,NA
2007,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,167452
2007,Fruitful Rim,General Cash Grains,infi,114053
2007,Fruitful Rim,Wheat,infi,174641
2007,Fruitful Rim,Other Field Crops,infi,31358
2007,Fruitful Rim,"Specialty Crops (F,V,N)",infi,147490
2008,Fruitful Rim,Wheat,infi,73118
2008,Fruitful Rim,Corn,infi,4488
2008,Fruitful Rim,Soybean,infi,NA
2008,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,249322
2008,Fruitful Rim,Other Field Crops,infi,36567
2008,Fruitful Rim,General Cash Grains,infi,180808
2008,Fruitful Rim,"Specialty Crops (F,V,N)",infi,100494
2009,Fruitful Rim,General Cash Grains,infi,133729
2009,Fruitful Rim,Wheat,infi,57983
2009,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,75508
2009,Fruitful Rim,Other Field Crops,infi,17653
2009,Fruitful Rim,Corn,infi,35470
2009,Fruitful Rim,Soybean,infi,15279
2009,Fruitful Rim,"Specialty Crops (F,V,N)",infi,111705
2010,Fruitful Rim,General Cash Grains,infi,84727
2010,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,458660
2010,Fruitful Rim,"Specialty Crops (F,V,N)",infi,155793
2010,Fruitful Rim,Wheat,infi,128995
2010,Fruitful Rim,Corn,infi,31987
2010,Fruitful Rim,Soybean,infi,23026
2010,Fruitful Rim,Other Field Crops,infi,28605
2011,Fruitful Rim,Wheat,infi,96399
2011,Fruitful Rim,Corn,infi,47625
2011,Fruitful Rim,Soybean,infi,NA
2011,Fruitful Rim,General Cash Grains,infi,144758
2011,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,124526
2011,Fruitful Rim,Other Field Crops,infi,30256
2011,Fruitful Rim,"Specialty Crops (F,V,N)",infi,168089
2012,Fruitful Rim,Wheat,infi,198184
2012,Fruitful Rim,Corn,infi,112707
2012,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,263722
2012,Fruitful Rim,Other Field Crops,infi,38528
2012,Fruitful Rim,General Cash Grains,infi,211603
2012,Fruitful Rim,Soybean,infi,NA
2012,Fruitful Rim,"Specialty Crops (F,V,N)",infi,181990
2013,Fruitful Rim,Corn,infi,79869
2013,Fruitful Rim,Other Field Crops,infi,57421
2013,Fruitful Rim,General Cash Grains,infi,131018
2013,Fruitful Rim,Wheat,infi,78195
2013,Fruitful Rim,Soybean,infi,NA
2013,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,348345
2013,Fruitful Rim,"Specialty Crops (F,V,N)",infi,170351
2014,Fruitful Rim,General Cash Grains,infi,90041
2014,Fruitful Rim,Corn,infi,95512
2014,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,31653
2014,Fruitful Rim,Other Field Crops,infi,49746
2014,Fruitful Rim,"Specialty Crops (F,V,N)",infi,194948
2014,Fruitful Rim,Wheat,infi,-10304
2014,Fruitful Rim,Soybean,infi,-9659
2015,Fruitful Rim,General Cash Grains,infi,120153
2015,Fruitful Rim,Wheat,infi,102452
2015,Fruitful Rim,Corn,infi,71287
2015,Fruitful Rim,Soybean,infi,NA
2015,Fruitful Rim,Other Field Crops,infi,25893
2015,Fruitful Rim,"Specialty Crops (F,V,N)",infi,228281
2015,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,-19443
2016,Fruitful Rim,General Cash Grains,infi,171711
2016,Fruitful Rim,Wheat,infi,22952
2016,Fruitful Rim,Soybean,infi,NA
2016,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,475153
2016,Fruitful Rim,Corn,infi,127749
2016,Fruitful Rim,Other Field Crops,infi,64231
2016,Fruitful Rim,"Specialty Crops (F,V,N)",infi,241212
2017,Fruitful Rim,Wheat,infi,132224
2017,Fruitful Rim,Corn,infi,75686
2017,Fruitful Rim,Soybean,infi,NA
2017,Fruitful Rim,Other Field Crops,infi,26252
2017,Fruitful Rim,"Specialty Crops (F,V,N)",infi,224100
2017,Fruitful Rim,General Cash Grains,infi,231444
2017,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,263947
2018,Fruitful Rim,General Cash Grains,infi,117200
2018,Fruitful Rim,"Tobacco, Cotton, Peanuts",infi,127968
2018,Fruitful Rim,"Specialty Crops (F,V,N)",infi,172667
2018,Fruitful Rim,Wheat,infi,197838
2018,Fruitful Rim,Corn,infi,12947
2018,Fruitful Rim,Other Field Crops,infi,23531
1996,Heartland,Soybean,infi,15264
1996,Heartland,"Tobacco, Cotton, Peanuts",infi,17690
1996,Heartland,Other Field Crops,infi,6352
1996,Heartland,General Cash Grains,infi,34448
1996,Heartland,Wheat,infi,NA
1996,Heartland,Corn,infi,43309
1996,Heartland,"Specialty Crops (F,V,N)",infi,101688
1997,Heartland,Corn,infi,25249
1997,Heartland,"Tobacco, Cotton, Peanuts",infi,37111
1997,Heartland,General Cash Grains,infi,31383
1997,Heartland,Wheat,infi,NA
1997,Heartland,Soybean,infi,23431
1997,Heartland,Other Field Crops,infi,9398
1997,Heartland,"Specialty Crops (F,V,N)",infi,25553
1998,Heartland,General Cash Grains,infi,21803
1998,Heartland,Wheat,infi,NA
1998,Heartland,Corn,infi,20975
1998,Heartland,Soybean,infi,8564
1998,Heartland,"Tobacco, Cotton, Peanuts",infi,9401
1998,Heartland,Other Field Crops,infi,8745
1998,Heartland,"Specialty Crops (F,V,N)",infi,70432
1999,Heartland,General Cash Grains,infi,23274
1999,Heartland,Corn,infi,26202
1999,Heartland,Wheat,infi,NA
1999,Heartland,Soybean,infi,17497
1999,Heartland,"Tobacco, Cotton, Peanuts",infi,26688
1999,Heartland,Other Field Crops,infi,5818
1999,Heartland,"Specialty Crops (F,V,N)",infi,67104
2000,Heartland,General Cash Grains,infi,24912
2000,Heartland,Wheat,infi,NA
2000,Heartland,Corn,infi,24233
2000,Heartland,Soybean,infi,17503
2000,Heartland,Other Field Crops,infi,7901
2000,Heartland,"Tobacco, Cotton, Peanuts",infi,18864
2000,Heartland,"Specialty Crops (F,V,N)",infi,20877
2001,Heartland,"Specialty Crops (F,V,N)",infi,27811
2001,Heartland,General Cash Grains,infi,28619
2001,Heartland,Corn,infi,28199
2001,Heartland,Soybean,infi,9421
2001,Heartland,"Tobacco, Cotton, Peanuts",infi,27437
2001,Heartland,Other Field Crops,infi,6095
2002,Heartland,Corn,infi,31850
2002,Heartland,Soybean,infi,10884
2002,Heartland,"Tobacco, Cotton, Peanuts",infi,26401
2002,Heartland,Other Field Crops,infi,5786
2002,Heartland,"Specialty Crops (F,V,N)",infi,11844
2002,Heartland,General Cash Grains,infi,26921
2002,Heartland,Wheat,infi,NA
2003,Heartland,Wheat,infi,10644
2003,Heartland,Corn,infi,39165
2003,Heartland,Soybean,infi,14603
2003,Heartland,"Tobacco, Cotton, Peanuts",infi,44804
2003,Heartland,General Cash Grains,infi,44914
2003,Heartland,Other Field Crops,infi,9455
2003,Heartland,"Specialty Crops (F,V,N)",infi,36281
2004,Heartland,General Cash Grains,infi,41296
2004,Heartland,Wheat,infi,12893
2004,Heartland,Corn,infi,55190
2004,Heartland,Soybean,infi,33180
2004,Heartland,"Tobacco, Cotton, Peanuts",infi,14292
2004,Heartland,"Specialty Crops (F,V,N)",infi,56152
2004,Heartland,Other Field Crops,infi,8136
2005,Heartland,General Cash Grains,infi,52323
2005,Heartland,"Tobacco, Cotton, Peanuts",infi,186445
2005,Heartland,Other Field Crops,infi,10389
2005,Heartland,"Specialty Crops (F,V,N)",infi,51575
2005,Heartland,Wheat,infi,NA
2005,Heartland,Corn,infi,47899
2005,Heartland,Soybean,infi,32111
2006,Heartland,Corn,infi,76275
2006,Heartland,"Tobacco, Cotton, Peanuts",infi,41187
2006,Heartland,General Cash Grains,infi,71394
2006,Heartland,Wheat,infi,1596
2006,Heartland,Soybean,infi,25653
2006,Heartland,Other Field Crops,infi,7000
2006,Heartland,"Specialty Crops (F,V,N)",infi,57305
2007,Heartland,General Cash Grains,infi,106613
2007,Heartland,Wheat,infi,14463
2007,Heartland,"Tobacco, Cotton, Peanuts",infi,29738
2007,Heartland,Corn,infi,115177
2007,Heartland,Soybean,infi,42527
2007,Heartland,Other Field Crops,infi,12742
2007,Heartland,"Specialty Crops (F,V,N)",infi,5629
2008,Heartland,General Cash Grains,infi,87697
2008,Heartland,Wheat,infi,-501
2008,Heartland,Corn,infi,112997
2008,Heartland,"Specialty Crops (F,V,N)",infi,30777
2008,Heartland,Soybean,infi,33593
2008,Heartland,"Tobacco, Cotton, Peanuts",infi,102304
2008,Heartland,Other Field Crops,infi,10282
2009,Heartland,Corn,infi,85684
2009,Heartland,Other Field Crops,infi,12008
2009,Heartland,General Cash Grains,infi,82513
2009,Heartland,Wheat,infi,12746
2009,Heartland,Soybean,infi,51719
2009,Heartland,"Tobacco, Cotton, Peanuts",infi,29265
2009,Heartland,"Specialty Crops (F,V,N)",infi,27900
2010,Heartland,Wheat,infi,NA
2010,Heartland,General Cash Grains,infi,135703
2010,Heartland,Corn,infi,127165
2010,Heartland,Soybean,infi,54773
2010,Heartland,"Tobacco, Cotton, Peanuts",infi,73745
2010,Heartland,Other Field Crops,infi,10489
2010,Heartland,"Specialty Crops (F,V,N)",infi,13935
2011,Heartland,Wheat,infi,2635
2011,Heartland,Corn,infi,129970
2011,Heartland,Other Field Crops,infi,11396
2011,Heartland,General Cash Grains,infi,116204
2011,Heartland,Soybean,infi,41450
2011,Heartland,"Tobacco, Cotton, Peanuts",infi,450746
2011,Heartland,"Specialty Crops (F,V,N)",infi,13101
2012,Heartland,Corn,infi,152830
2012,Heartland,Soybean,infi,40409
2012,Heartland,"Tobacco, Cotton, Peanuts",infi,54838
2012,Heartland,Other Field Crops,infi,13827
2012,Heartland,"Specialty Crops (F,V,N)",infi,41450
2012,Heartland,General Cash Grains,infi,135206
2012,Heartland,Wheat,infi,7682
2013,Heartland,General Cash Grains,infi,220210
2013,Heartland,Wheat,infi,13439
2013,Heartland,Corn,infi,150346
2013,Heartland,Soybean,infi,58081
2013,Heartland,Other Field Crops,infi,12927
2013,Heartland,"Specialty Crops (F,V,N)",infi,24025
2013,Heartland,"Tobacco, Cotton, Peanuts",infi,102988
2014,Heartland,General Cash Grains,infi,114532
2014,Heartland,Wheat,infi,15181
2014,Heartland,Soybean,infi,50697
2014,Heartland,"Tobacco, Cotton, Peanuts",infi,96566
2014,Heartland,Other Field Crops,infi,17348
2014,Heartland,Corn,infi,95937
2014,Heartland,"Specialty Crops (F,V,N)",infi,28758
2015,Heartland,General Cash Grains,infi,82321
2015,Heartland,Wheat,infi,NA
2015,Heartland,Corn,infi,80929
2015,Heartland,Soybean,infi,26202
2015,Heartland,Other Field Crops,infi,13352
2015,Heartland,"Tobacco, Cotton, Peanuts",infi,300948
2015,Heartland,"Specialty Crops (F,V,N)",infi,55637
2016,Heartland,General Cash Grains,infi,121236
2016,Heartland,Other Field Crops,infi,20072
2016,Heartland,"Specialty Crops (F,V,N)",infi,14633
2016,Heartland,Corn,infi,115188
2016,Heartland,Soybean,infi,69653
2016,Heartland,"Tobacco, Cotton, Peanuts",infi,NA
2017,Heartland,Wheat,infi,NA
2017,Heartland,Corn,infi,108680
2017,Heartland,Soybean,infi,61618
2017,Heartland,Other Field Crops,infi,18772
2017,Heartland,"Specialty Crops (F,V,N)",infi,52402
2017,Heartland,General Cash Grains,infi,110124
2017,Heartland,"Tobacco, Cotton, Peanuts",infi,227845
2018,Heartland,"Tobacco, Cotton, Peanuts",infi,338951
2018,Heartland,"Specialty Crops (F,V,N)",infi,-1208
2018,Heartland,General Cash Grains,infi,110891
2018,Heartland,Wheat,infi,NA
2018,Heartland,Corn,infi,128604
2018,Heartland,Soybean,infi,55756
2018,Heartland,Other Field Crops,infi,15562
1996,Mississippi Portal,General Cash Grains,infi,109602
1996,Mississippi Portal,Wheat,infi,NA
1996,Mississippi Portal,Soybean,infi,39930
1996,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,58071
1996,Mississippi Portal,"Specialty Crops (F,V,N)",infi,-29765
1996,Mississippi Portal,Corn,infi,77160
1996,Mississippi Portal,Other Field Crops,infi,12419
1997,Mississippi Portal,General Cash Grains,infi,72543
1997,Mississippi Portal,Wheat,infi,NA
1997,Mississippi Portal,Corn,infi,21722
1997,Mississippi Portal,Soybean,infi,29575
1997,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,72257
1997,Mississippi Portal,Other Field Crops,infi,18775
1997,Mississippi Portal,"Specialty Crops (F,V,N)",infi,7300
1998,Mississippi Portal,Corn,infi,24363
1998,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,9570
1998,Mississippi Portal,"Specialty Crops (F,V,N)",infi,-4633
1998,Mississippi Portal,General Cash Grains,infi,42233
1998,Mississippi Portal,Wheat,infi,NA
1998,Mississippi Portal,Soybean,infi,11693
1998,Mississippi Portal,Other Field Crops,infi,8353
1999,Mississippi Portal,Wheat,infi,101115
1999,Mississippi Portal,Soybean,infi,3545
1999,Mississippi Portal,Other Field Crops,infi,7697
1999,Mississippi Portal,"Specialty Crops (F,V,N)",infi,NA
1999,Mississippi Portal,General Cash Grains,infi,45271
1999,Mississippi Portal,Corn,infi,-5571
1999,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,32838
2000,Mississippi Portal,Soybean,infi,11439
2000,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,18017
2000,Mississippi Portal,"Specialty Crops (F,V,N)",infi,32788
2000,Mississippi Portal,General Cash Grains,infi,20806
2000,Mississippi Portal,Wheat,infi,NA
2000,Mississippi Portal,Corn,infi,8497
2000,Mississippi Portal,Other Field Crops,infi,11229
2001,Mississippi Portal,General Cash Grains,infi,60069
2001,Mississippi Portal,Wheat,infi,NA
2001,Mississippi Portal,Soybean,infi,34289
2001,Mississippi Portal,Other Field Crops,infi,6098
2001,Mississippi Portal,"Specialty Crops (F,V,N)",infi,33896
2001,Mississippi Portal,Corn,infi,118883
2001,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,17609
2002,Mississippi Portal,Wheat,infi,-3502
2002,Mississippi Portal,"Specialty Crops (F,V,N)",infi,19664
2002,Mississippi Portal,General Cash Grains,infi,74682
2002,Mississippi Portal,Corn,infi,-4185
2002,Mississippi Portal,Soybean,infi,52884
2002,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,70971
2002,Mississippi Portal,Other Field Crops,infi,476
2003,Mississippi Portal,General Cash Grains,infi,127675
2003,Mississippi Portal,Soybean,infi,110030
2003,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,120641
2003,Mississippi Portal,"Specialty Crops (F,V,N)",infi,22866
2003,Mississippi Portal,Wheat,infi,NA
2003,Mississippi Portal,Corn,infi,157626
2003,Mississippi Portal,Other Field Crops,infi,18229
2004,Mississippi Portal,Corn,infi,71754
2004,Mississippi Portal,General Cash Grains,infi,92425
2004,Mississippi Portal,Wheat,infi,NA
2004,Mississippi Portal,Soybean,infi,74507
2004,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,165424
2004,Mississippi Portal,Other Field Crops,infi,6326
2004,Mississippi Portal,"Specialty Crops (F,V,N)",infi,49968
2005,Mississippi Portal,Corn,infi,118883
2005,Mississippi Portal,Soybean,infi,11307
2005,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,148931
2005,Mississippi Portal,General Cash Grains,infi,76582
2005,Mississippi Portal,Other Field Crops,infi,637
2005,Mississippi Portal,"Specialty Crops (F,V,N)",infi,NA
2006,Mississippi Portal,Wheat,infi,NA
2006,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,119209
2006,Mississippi Portal,General Cash Grains,infi,90039
2006,Mississippi Portal,Corn,infi,62864
2006,Mississippi Portal,Soybean,infi,13285
2006,Mississippi Portal,Other Field Crops,infi,9652
2006,Mississippi Portal,"Specialty Crops (F,V,N)",infi,28410
2007,Mississippi Portal,General Cash Grains,infi,169881
2007,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,94105
2007,Mississippi Portal,Other Field Crops,infi,11326
2007,Mississippi Portal,"Specialty Crops (F,V,N)",infi,53886
2007,Mississippi Portal,Wheat,infi,NA
2007,Mississippi Portal,Corn,infi,150365
2007,Mississippi Portal,Soybean,infi,76849
2008,Mississippi Portal,General Cash Grains,infi,244575
2008,Mississippi Portal,Wheat,infi,-59687
2008,Mississippi Portal,Soybean,infi,67010
2008,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,75786
2008,Mississippi Portal,Other Field Crops,infi,20052
2008,Mississippi Portal,Corn,infi,140427
2008,Mississippi Portal,"Specialty Crops (F,V,N)",infi,38712
2009,Mississippi Portal,Corn,infi,101845
2009,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,184531
2009,Mississippi Portal,Other Field Crops,infi,4904
2009,Mississippi Portal,General Cash Grains,infi,165494
2009,Mississippi Portal,Wheat,infi,NA
2009,Mississippi Portal,Soybean,infi,114446
2009,Mississippi Portal,"Specialty Crops (F,V,N)",infi,-71352
2010,Mississippi Portal,Wheat,infi,NA
2010,Mississippi Portal,Soybean,infi,93832
2010,Mississippi Portal,General Cash Grains,infi,167857
2010,Mississippi Portal,Corn,infi,50490
2010,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,248708
2010,Mississippi Portal,Other Field Crops,infi,7413
2010,Mississippi Portal,"Specialty Crops (F,V,N)",infi,16883
2011,Mississippi Portal,General Cash Grains,infi,190688
2011,Mississippi Portal,Wheat,infi,-21555
2011,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,228404
2011,Mississippi Portal,Other Field Crops,infi,5734
2011,Mississippi Portal,Corn,infi,302046
2011,Mississippi Portal,Soybean,infi,56097
2011,Mississippi Portal,"Specialty Crops (F,V,N)",infi,-12412
2012,Mississippi Portal,Corn,infi,387313
2012,Mississippi Portal,Other Field Crops,infi,11086
2012,Mississippi Portal,"Specialty Crops (F,V,N)",infi,162482
2012,Mississippi Portal,General Cash Grains,infi,595061
2012,Mississippi Portal,Wheat,infi,16721
2012,Mississippi Portal,Soybean,infi,179958
2012,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,138867
2013,Mississippi Portal,General Cash Grains,infi,398573
2013,Mississippi Portal,Corn,infi,310300
2013,Mississippi Portal,"Specialty Crops (F,V,N)",infi,NA
2013,Mississippi Portal,Wheat,infi,NA
2013,Mississippi Portal,Soybean,infi,201785
2013,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,345921
2013,Mississippi Portal,Other Field Crops,infi,52218
2014,Mississippi Portal,Wheat,infi,NA
2014,Mississippi Portal,Soybean,infi,150877
2014,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,123006
2014,Mississippi Portal,General Cash Grains,infi,227391
2014,Mississippi Portal,Corn,infi,136083
2014,Mississippi Portal,Other Field Crops,infi,13949
2014,Mississippi Portal,"Specialty Crops (F,V,N)",infi,10826
2015,Mississippi Portal,General Cash Grains,infi,155175
2015,Mississippi Portal,Wheat,infi,NA
2015,Mississippi Portal,Soybean,infi,85618
2015,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,-20219
2015,Mississippi Portal,Other Field Crops,infi,18894
2015,Mississippi Portal,"Specialty Crops (F,V,N)",infi,45992
2015,Mississippi Portal,Corn,infi,11112
2016,Mississippi Portal,General Cash Grains,infi,166258
2016,Mississippi Portal,Corn,infi,127363
2016,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,92991
2016,Mississippi Portal,Other Field Crops,infi,6460
2016,Mississippi Portal,"Specialty Crops (F,V,N)",infi,60062
2016,Mississippi Portal,Wheat,infi,NA
2016,Mississippi Portal,Soybean,infi,126913
2017,Mississippi Portal,General Cash Grains,infi,358164
2017,Mississippi Portal,Wheat,infi,NA
2017,Mississippi Portal,Soybean,infi,235664
2017,Mississippi Portal,"Specialty Crops (F,V,N)",infi,128244
2017,Mississippi Portal,Corn,infi,192422
2017,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,154840
2017,Mississippi Portal,Other Field Crops,infi,18620
2018,Mississippi Portal,Corn,infi,158753
2018,Mississippi Portal,Soybean,infi,160034
2018,Mississippi Portal,"Specialty Crops (F,V,N)",infi,NA
2018,Mississippi Portal,General Cash Grains,infi,346163
2018,Mississippi Portal,"Tobacco, Cotton, Peanuts",infi,239669
2018,Mississippi Portal,Other Field Crops,infi,21786
1996,Northern Crescent,Wheat,infi,NA
1996,Northern Crescent,Corn,infi,22969
1996,Northern Crescent,Soybean,infi,12028
1996,Northern Crescent,Other Field Crops,infi,5192
1996,Northern Crescent,"Specialty Crops (F,V,N)",infi,27910
1996,Northern Crescent,General Cash Grains,infi,10138
1996,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
1997,Northern Crescent,General Cash Grains,infi,9505
1997,Northern Crescent,Wheat,infi,-318
1997,Northern Crescent,Soybean,infi,4603
1997,Northern Crescent,"Specialty Crops (F,V,N)",infi,32672
1997,Northern Crescent,Corn,infi,5752
1997,Northern Crescent,Other Field Crops,infi,3780
1998,Northern Crescent,Other Field Crops,infi,1650
1998,Northern Crescent,General Cash Grains,infi,18525
1998,Northern Crescent,Wheat,infi,NA
1998,Northern Crescent,Corn,infi,16701
1998,Northern Crescent,Soybean,infi,5300
1998,Northern Crescent,"Specialty Crops (F,V,N)",infi,54198
1999,Northern Crescent,General Cash Grains,infi,16594
1999,Northern Crescent,Wheat,infi,NA
1999,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
1999,Northern Crescent,"Specialty Crops (F,V,N)",infi,26169
1999,Northern Crescent,Corn,infi,16329
1999,Northern Crescent,Soybean,infi,11987
1999,Northern Crescent,Other Field Crops,infi,3976
2000,Northern Crescent,General Cash Grains,infi,13542
2000,Northern Crescent,Corn,infi,18442
2000,Northern Crescent,Other Field Crops,infi,5040
2000,Northern Crescent,Wheat,infi,NA
2000,Northern Crescent,Soybean,infi,4893
2000,Northern Crescent,"Specialty Crops (F,V,N)",infi,22882
2001,Northern Crescent,General Cash Grains,infi,-932
2001,Northern Crescent,Wheat,infi,NA
2001,Northern Crescent,Soybean,infi,-2995
2001,Northern Crescent,"Specialty Crops (F,V,N)",infi,26384
2001,Northern Crescent,Corn,infi,11525
2001,Northern Crescent,Other Field Crops,infi,2882
2002,Northern Crescent,Wheat,infi,NA
2002,Northern Crescent,General Cash Grains,infi,4368
2002,Northern Crescent,Corn,infi,9824
2002,Northern Crescent,Soybean,infi,9970
2002,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2002,Northern Crescent,Other Field Crops,infi,5294
2002,Northern Crescent,"Specialty Crops (F,V,N)",infi,43330
2003,Northern Crescent,General Cash Grains,infi,7134
2003,Northern Crescent,Wheat,infi,NA
2003,Northern Crescent,Corn,infi,17899
2003,Northern Crescent,Soybean,infi,-7537
2003,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2003,Northern Crescent,Other Field Crops,infi,7962
2003,Northern Crescent,"Specialty Crops (F,V,N)",infi,36146
2004,Northern Crescent,Wheat,infi,15728
2004,Northern Crescent,"Specialty Crops (F,V,N)",infi,39779
2004,Northern Crescent,General Cash Grains,infi,18087
2004,Northern Crescent,Corn,infi,18643
2004,Northern Crescent,Soybean,infi,10803
2004,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2004,Northern Crescent,Other Field Crops,infi,4884
2005,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2005,Northern Crescent,Other Field Crops,infi,6998
2005,Northern Crescent,"Specialty Crops (F,V,N)",infi,41731
2005,Northern Crescent,General Cash Grains,infi,29446
2005,Northern Crescent,Wheat,infi,7043
2005,Northern Crescent,Corn,infi,33164
2005,Northern Crescent,Soybean,infi,16901
2006,Northern Crescent,Wheat,infi,12633
2006,Northern Crescent,Corn,infi,33299
2006,Northern Crescent,"Specialty Crops (F,V,N)",infi,58233
2006,Northern Crescent,General Cash Grains,infi,32264
2006,Northern Crescent,Soybean,infi,16634
2006,Northern Crescent,Other Field Crops,infi,5108
2007,Northern Crescent,Wheat,infi,-1152
2007,Northern Crescent,Soybean,infi,28454
2007,Northern Crescent,Other Field Crops,infi,7937
2007,Northern Crescent,"Specialty Crops (F,V,N)",infi,32382
2007,Northern Crescent,General Cash Grains,infi,34075
2007,Northern Crescent,Corn,infi,44848
2007,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2008,Northern Crescent,Soybean,infi,17233
2008,Northern Crescent,Other Field Crops,infi,1701
2008,Northern Crescent,General Cash Grains,infi,40468
2008,Northern Crescent,Wheat,infi,NA
2008,Northern Crescent,Corn,infi,40240
2008,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2008,Northern Crescent,"Specialty Crops (F,V,N)",infi,41860
2009,Northern Crescent,General Cash Grains,infi,45630
2009,Northern Crescent,Wheat,infi,626
2009,Northern Crescent,Soybean,infi,15544
2009,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2009,Northern Crescent,Corn,infi,38331
2009,Northern Crescent,Other Field Crops,infi,4608
2009,Northern Crescent,"Specialty Crops (F,V,N)",infi,53754
2010,Northern Crescent,General Cash Grains,infi,85577
2010,Northern Crescent,Wheat,infi,8770
2010,Northern Crescent,Corn,infi,60054
2010,Northern Crescent,"Specialty Crops (F,V,N)",infi,30416
2010,Northern Crescent,Soybean,infi,33315
2010,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,19875
2010,Northern Crescent,Other Field Crops,infi,6727
2011,Northern Crescent,General Cash Grains,infi,66304
2011,Northern Crescent,Soybean,infi,78348
2011,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2011,Northern Crescent,Corn,infi,57466
2011,Northern Crescent,Other Field Crops,infi,3147
2011,Northern Crescent,"Specialty Crops (F,V,N)",infi,31149
2012,Northern Crescent,General Cash Grains,infi,79972
2012,Northern Crescent,Wheat,infi,15302
2012,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2012,Northern Crescent,"Specialty Crops (F,V,N)",infi,81226
2012,Northern Crescent,Corn,infi,86999
2012,Northern Crescent,Soybean,infi,31056
2012,Northern Crescent,Other Field Crops,infi,10795
2013,Northern Crescent,Soybean,infi,36673
2013,Northern Crescent,"Specialty Crops (F,V,N)",infi,65055
2013,Northern Crescent,General Cash Grains,infi,107814
2013,Northern Crescent,Wheat,infi,NA
2013,Northern Crescent,Corn,infi,49561
2013,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2013,Northern Crescent,Other Field Crops,infi,17585
2014,Northern Crescent,Wheat,infi,-6854
2014,Northern Crescent,Corn,infi,25885
2014,Northern Crescent,Soybean,infi,12789
2014,Northern Crescent,General Cash Grains,infi,23862
2014,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,16179
2014,Northern Crescent,Other Field Crops,infi,3248
2014,Northern Crescent,"Specialty Crops (F,V,N)",infi,61127
2015,Northern Crescent,General Cash Grains,infi,34273
2015,Northern Crescent,Other Field Crops,infi,10230
2015,Northern Crescent,"Specialty Crops (F,V,N)",infi,36210
2015,Northern Crescent,Wheat,infi,13543
2015,Northern Crescent,Corn,infi,20931
2015,Northern Crescent,Soybean,infi,8855
2015,Northern Crescent,"Tobacco, Cotton, Peanuts",infi,NA
2016,Northern Crescent,General Cash Grains,infi,55556
2016,Northern Crescent,Wheat,infi,NA
2016,Northern Crescent,Soybean,infi,10032
